8072226	Y	9:30 AM exam and dressed like Marty McFly so yeah I'm on my way to Kams									
8072540	Y	JAGABOMBS!!! (@ It's Brothers Bar & Grill) http://t.co/rXYGVhAqe1									
8072561	Y	My dad said he aint giving me no money unless i go to danville and bring him popeyes chicken lol									
8072771	Y	I'm at Boltini Lounge w/ @blonohomo [pic]: http://t.co/N0biFFmk21									
8072831	Y	Everyone here is half my age. (@ Undergraduate Library - @askundergrad) http://t.co/1tiLBu3b05									
8072983	Y	Great start to the evening. (with Nathan at Boltini Lounge) [pic] â€” https://t.co/2F83i4P9hK									
8073051	Y	Also.. free drinks at boltini because, we've got friends in high places.@Blonohomo									
8073787	Y	This trick got an ashy forehead while wearing a Kam's t-shirt. Smh.									
8073860	Y	@MarSale_ firehaus?									
8074023	Y	Drinks! (with Nathan at Chester Street Bar) â€” https://t.co/qBy7m1j7Fx									
8074036	Y	Had to play Thank a Farmer" on touchtunes by @jameswesley1 at Pia's in Champaign, IL. Song has meaning to me since I grew up on a farm..."									
8074200	Y	Moet on a Wednesday night! Probably can't beat that....... @ The Highdive http://t.co/u5iYhatWWE									
8074276	Y	found somethin cute lookin for a vending machine @ College Of ACES Library http://t.co/cHWY8YK1oA									
8074285	Y	@DeathEndsFun @b50 I fail to understand the popularity of Starbucks and especially of Domino's the box tastes better than the pizza"."									
8074429	Y	Good morning! (@ Stephens Family YMCA/@LarkinsPlace) http://t.co/gAqQPPl5ok									
8074621	Y	I'm at Original Pancake House (Champaign, IL) http://t.co/Qkhjptd8NA									
8074629	Y	I am very upset with Steak 'n Shake for trying to poison me last night and making me feel awful today									
8074745	Y	Buy me McDonalds Breakfast so I know its real									
8074752	Y	McDonald Breakfast ! ??????????									
8074812	Y	I'm at @ParklandCollege (Champaign, IL) http://t.co/mxZfPWdo7S									
8074813	Y	I'm at Parkland College Library (Champaign, IL) http://t.co/wBYawpvkkP									
8074961	Y	Eggs all day! Matthews and Springfield until 330 #eggs									
8074971	Y	Also, we'll be on Green Street ALL DAY tomorrow for #unofficial shenanigans									
8075097	Y	I'm at @ParklandCollege (Champaign, IL) http://t.co/TWqHb0Eqi9									
8075191	Y	Morning reading\n\n#mextures #snapseed #vscocam #uiuc #morning #cold #longshadow #Quad @ Main Quadrangle http://t.co/fH7ezZwrAG									
8075205	Y	I could go for some SAMs right now									
8075236	Y	I'm at Car-X Auto Service (Champaign, IL) http://t.co/iG0VsZSRSl									
8075420	Y	Picture Perfect night in Champaign...									
8075506	Y	Come on the quad and support black student voices being heard through a silent statement. Today 11am-2pm http://t.co/fnPgYz7chQ									
8075718	Y	Cracker Barrel got fye breakfast too lol									
8075840	Y	â€œ@tq_yancey: I legitimately want to know if the library is open during Spring Break #gradschoolproblems @Grad_SchoolProbâ€� @ktdid262									
8075942	Y	Can someone give me a valid reason to go to Flat Top tonight?									
8075989	Y	You knows it's going to be a good day when you get free jimmy johns!!!! ????									
8076073	Y	Trying out the new Computer Lab and Study Space. Solid (@ Illini Union) [pic]: http://t.co/wJDFrydmlr									
8076115	Y	Health Enthusiast Part-Time - The Vitamin Shoppe: ( #Champaign , IL) http://t.co/uSQvVj23GX #Retail #Job #Jobs #TweetMyJobs									
8076133	Y	@Wipe_My_Butler perfect $1 beers at lion?									
8076197	Y	On my way 2 carters furniture (@ Illinois Terminal) http://t.co/03BBoAotCc									
8076247	Y	#Champaign , IL #Retail #Job: Key Holder at The Vitamin Shoppe http://t.co/1VbPBBM4wY #Jobs #TweetMyJobs									
8076257	Y	Yesterday?? @ Johnson Park http://t.co/Xc8huzUXfs									
8076287	Y	#Day4 #UrbanaRestaurantWeek #EatUrbana @urbanabusiness (@ Sitara) http://t.co/CSi5LTdctn									
8076300	Y	There's a large crowd outside the union chanting THE 'T' IS NOT SILENT!" with megaphones and picket signs. WTF does that mean??"									
8076325	Y	So much activism on the quad today. Feels good man									
8076340	Y	Lunch date at Merry Ann's @zfranz90 @j_norfleet84									
8076358	Y	Just registered for @ILStewards #localfood awareness day! @LandConnection									
8076415	Y	Just had meatheads for the first time. My life will never be the same. ??????									
8076624	Y	Who needs to go t the ARC when you can just buy a keg and carry it?									
8076663	Y	Bored. Someone please come. (@ Illini Union w/ 2 others) http://t.co/MHHIzOmZjf									
8076692	Y	Yes, it is a wine. And yes, we have it. @BinnysBev Champaign. http://t.co/muc3XZVVkz									
8076721	Y	@3vaRos3 yes I am ma! Highdive round 2!									
8076774	Y	I guess you can consider last night semi-successful ???? #dzdoessemi #hesthebomb #mardigras @ Somaâ€¦ http://t.co/spLF2bcgjT									
8076867	Y	PB, nooo! @Potbelly, you got rid of the jugs of hot peppers. How is a girl to survive? *faint* @TeeC_11									
8077093	Y	This weekend will be the longest I've been away from Red Lion since winter break. Totally normal to feel anxious and distraught, right?									
8077165	Y	@taaybodine @KiaraSmail @GrantRexroat @lovelaina @KMcGillivray13 @caitlinleean I could really go for some Steak 'n Shake with y'all rite now									
8077173	Y	What a beautiful day in Champaign! #behappy									
8077225	Y	This #BeingBlackAtIllinois movement going on on the Quad today is really interesting...									
8077305	Y	I'm at Campustown (Champaign, IL) http://t.co/BDxIwsY8RQ									
8077353	Y	#BeingBlackAtIllinois @ Main Quadrangle http://t.co/p7FjOTxiK9									
8077506	Y	I'm at Downtown Champaign (Champaign, IL) w/ 2 others http://t.co/aYyQEBLFD6									
8077511	Y	I'm at @Busey (Champaign, IL) http://t.co/7LhYsrMQKG									
8077541	Y	I'm at Stevie Jay Broadcasting - @allthehitsq96 (Urbana, IL) http://t.co/mQ0Vt4AKBJ									
8077588	Y	I'm at @PekaraBakery & Bistro w/ @lphillips2002 http://t.co/99w8TAgHwt									
8077865	Y	Some down time (@ Main Library w/ 2 others) http://t.co/Hcw5HIxclF									
8077881	Y	I'm at Main Library (Urbana, IL) w/ 3 others http://t.co/3ItYeJ7ibU									
8078022	Y	Cognition, brain, exercise, all fun stuff... (@ Beckman Institute for Advanced Science and Technology) http://t.co/pu2s8v79Sh									
8078129	Y	Round 2: pumping up these guns, no #concealandcarry (@ The Refinery) http://t.co/wuy2pyBGz0									
8078415	Y	Remember my parmacrust. #dpdough #unofficial #breakingbad @ D.P. Dough http://t.co/pi1820kcfm									
8078469	Y	Getting into a car accident at parkland today was just greeeeaaaaat ??									
8078498	Y	Coffee breaking before the gig tonight in #Urbana #BLOWdTOUR @TheCarouselPage http://t.co/Rpwh38zHS2									
8078499	Y	Spotted on a bathroom stall in the anthro building @ Davenport Hall http://t.co/nkaplB4Mki									
8078500	Y	I'm at Stephens Family YMCA/@LarkinsPlace (Champaign, IL) http://t.co/iIRiMFTyjB									
8078575	Y	Cherub tonight at Canopy Club, hop on the crazy train with us.									
8078633	Y	Today's work day is pretty laid back (@ School Of Art & Design) http://t.co/iwqwch44pM									
8078659	Y	Getting edumecated (at @ParklandCollege) http://t.co/won5ednDaO									
8078746	Y	Delicious study time :) (at @PaneraBread) http://t.co/hJqp96RuRZ									
8078827	Y	I'm at First United Methodist of Champaign (Champaign, IL) http://t.co/xUorGaoMz6									
8078952	Y	Starting early. Jk, dinner. (at @FirehausUofi) http://t.co/2ZTSdpXyrf									
8079019	Y	Auntie Ann's cinnamon pretzel sticks sound delicious!									
8079025	Y	And Chipotle! ??									
8079038	Y	And Chipotle! ??									
8079074	Y	Who else wishes they were here??? stonebrewingco  #gotoipa launch @ The Blind Pig Co http://t.co/yCrZwd5WRF									
8079093	Y	â€œ@BatmanArkham: Presenting: The Batmobile.  #BeTheBatman #ArkhamKnight ESRB Rating Pending. https://t.co/cnIhkG7Qg5â€� @kbucker84									
8079158	Y	@Qey2UrHeart this could be us but you playing \n\nhttps://t.co/VFZuwQxXjRâ€�									
8079211	Y	Dinner at @JoesBrewery with @nathankerby http://t.co/qMF0yVJ6QL									
8079213	Y	Carido wods.. bring on the rowing! (@ Champaign-Urbana CrossFit) http://t.co/C8DwI936iz									
8079562	Y	At krannert center playhouse theater ; loud buzz in headsets.  It's driving us all crazy								-88.2272016	1394143861
8079575	Y	Listening and cheering for the Mt. Horeb Vikings all the way down in Champaign. Let's go guys! @WiscoRadio								-88.31250806	1394143909
8079638	Y	#jimmyjohns #ymcaheat  #willswimforsubs #freakyfast http://t.co/EIpY8H1Zcm								-88.20199778	1394144114
8079722	Y	You get derivery good time fun. @ D.P. Dough http://t.co/hCsoK900P5								-88.23415152	1394145057
8079736	Y	Excited to be back in Urbana at The Canopy Club tonight!								-88.27133096	1394145097
8079797	Y	Maurices #Retail #Job: Assistant Mgr PT ( #Champaign , IL) http://t.co/w2Uf5KgalU #Jobs #TweetMyJobs								-88.227026	1394145331
8079875	Y	I have to go to bed in 3 hours, but all I want is a #starbucks white chocolate mocha. Help?								-88.22179709	1394145709
